content,total_comments_all,complaint_comments_all,positive_eval_comments_all,complaint_rate_all,positive_rate_all,complaint_lift_vs_overall_all,positive_lift_vs_overall_all,total_comments_non_event,complaint_comments_non_event,positive_eval_comments_non_event,complaint_rate_non_event,positive_rate_non_event,complaint_lift_vs_overall_non_event,positive_lift_vs_overall_non_event,complaint_rate_delta(non_event-all),positive_rate_delta(non_event-all)
브랜딩,2471,4,1765,0.16187778227438285,71.42857142857143,0.5442690768469806,0.9576555478194823,1777,4,1765,0.22509848058525606,99.32470455824424,0.5704995935721878,1.0038088218757426,0.06322069831087321,27.896133129672805
주민소통,521,0,467,0.0,89.63531669865642,0.0,1.2017566164383444,470,0,467,0.0,99.36170212765958,0.0,1.0041827317376673,0.0,9.726385429003159
