topic,total_comments_all,complaint_comments_all,positive_eval_comments_all,complaint_rate_all,positive_rate_all,complaint_lift_vs_overall_all,positive_lift_vs_overall_all,total_comments_non_event,complaint_comments_non_event,positive_eval_comments_non_event,complaint_rate_non_event,positive_rate_non_event,complaint_lift_vs_overall_non_event,positive_lift_vs_overall_non_event,complaint_rate_delta(non_event-all),positive_rate_delta(non_event-all)
경제,1144,3,719,0.26223776223776224,62.849650349650354,0.8817016317016316,0.8426364287020025,725,3,719,0.41379310344827586,99.17241379310346,1.048735632183908,1.002269720257284,0.15155534121051362,36.322763443453105
행정,1333,3,1048,0.22505626406601648,78.61965491372843,0.7566891722930731,1.0540676817409933,1057,3,1048,0.28382213812677387,99.14853358561967,0.7193314411857458,1.0020283788604274,0.058765874060757395,20.52887867189125
문화,538,0,483,0.0,89.77695167286245,0.0,1.2036555417017358,488,0,483,0.0,98.97540983606558,0.0,1.000278732104854,0.0,9.198458163203128
