topic,total_comments,complaint_comments,positive_eval_comments,complaint_rate,positive_rate,complaint_lift_vs_overall,positive_lift_vs_overall
경제,1144,3,719,0.26223776223776224,62.849650349650354,0.8817016317016316,0.8426364287020025
행정,1333,3,1048,0.22505626406601648,78.61965491372843,0.7566891722930731,1.0540676817409933
문화,538,0,483,0.0,89.77695167286245,0.0,1.2036555417017358
