content,total_comments,complaint_comments,positive_eval_comments,complaint_rate,positive_rate,complaint_lift_vs_overall,positive_lift_vs_overall
브랜딩,2471,4,1765,0.16187778227438285,71.42857142857143,0.5442690768469806,0.9576555478194823
주민소통,521,0,467,0.0,89.63531669865642,0.0,1.2017566164383444
