topic,content,공감·감동,응원·격려,일상·감상,정보요청,제안·아이디어,칭찬·감사,총계
경제,브랜딩,120,100,87,201,103,108,719
교육,주민소통,0,0,0,0,1,0,1
교통,정책홍보,0,0,2,0,0,0,2
문화,브랜딩,0,2,3,0,0,0,5
문화,정보제공,0,0,1,0,0,0,1
문화,주민소통,72,101,53,81,131,27,465
문화,행사안내,0,1,11,0,0,0,12
보건,정보제공,0,0,1,0,0,0,1
일자리,정보제공,0,0,1,0,0,0,1
체육,정보제공,0,0,0,0,0,1,1
체육,행사안내,0,0,1,0,0,0,1
행정,브랜딩,95,134,360,232,137,83,1041
행정,정보제공,0,0,3,0,0,2,5
행정,정책홍보,0,0,1,0,0,0,1
행정,주민소통,0,0,1,0,0,0,1
총계,,287,338,525,514,372,221,2257
